Model,K,Value
Frequency, 10, 0.04763603727248128
Frequency, 20, 0.08471325365560174
Frequency, 50, 0.17278276206187915
Genre Baseline, 10, 0.0999709325693116
Genre Baseline, 20, 0.1609774988305846
Genre Baseline, 50, 0.2715234461372083
Personalised Genre, 10, 0.10397630372757262
Personalised Genre, 20, 0.16544945865636423
Personalised Genre, 50, 0.2757338849610023
LDA, 10, 0.152959307627251
LDA, 20, 0.23796164019280827
LDA, 50, 0.38611444113928295
Clustering+LDA, 10, 0.0993187062354003
Clustering+LDA, 20, 0.1631180938027221
Clustering+LDA, 50, 0.29563547443624855
